row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene4020,3.332646056,7.432699999,6.68E-37,4.84E-35,0.052246221,1,334,82,264,1046,312,238,378,248
gene1506,-3.864321565,7.102955358,1.43E-36,1.02E-34,0.059122711,-1,3523,781,1515,7159,24,12,26,6
gene1232,-4.138238939,6.823668833,3.27E-36,2.28E-34,0.062690416,-1,2260,603,1480,7101,11,12,17,5
gene1160,3.75866145,11.00552972,3.58E-36,2.46E-34,0.068710123,1,3940,869,1668,8511,3272,2605,6860,2292
gene2799,4.912777343,10.40907257,4.53E-36,3.05E-34,0.105512619,1,911,187,772.52,3140.64,5538.3,1213.04,3245.06,1094.21
gene2206,-3.108915262,7.713713245,5.92E-36,3.92E-34,0.043545054,-1,3701,1244,2582,12199,58,29,54,25
gene424,-3.380325373,7.410309759,8.66E-36,5.64E-34,0.049024579,-1,3074,1095,2080,9368,44,21,30,17
gene2436,3.230072933,7.947126947,9.25E-36,5.92E-34,0.051700866,1,568,168,382,1111,665,315,509,260
gene3963,-3.365458541,7.84605459,1.42E-35,8.95E-34,0.050488714,-1,4566,1406,2561,13541,41,29,44,34
gene599,-3.951979051,6.964805742,1.49E-35,9.22E-34,0.059754459,-1,2078,693,1845,7599,14,14,17,10
gene2069,4.241040257,7.012995449,1.81E-35,1.11E-33,0.079566313,1,108,49,133,312,392,123,290,177
gene2059,3.62622994,9.106282369,2.01E-35,1.21E-33,0.065951376,1,774,212,721,2928,955,655,1777,636
gene3471,3.729578467,8.419581447,4.12E-35,2.43E-33,0.068526554,1,563,131,293,1877,911,302,1064,355
gene3135,-3.147780349,7.466488669,4.18E-35,2.43E-33,0.04456462,-1,3971,815,2214,10108,45,26,46,19
gene358,-3.485395362,7.601988697,8.38E-35,4.80E-33,0.054112786,-1,4727,906,2389,11088,45,23,26,23
gene1064,3.399066052,8.099704336,2.30E-34,1.30E-32,0.05963321,1,727,122,285,1507,546,357,855,257
gene2351,-3.235879037,7.375966196,2.61E-34,1.46E-32,0.047066394,-1,3448,1059,1918,8167,39,25,34,20
gene2383,3.71241841,9.602945822,3.39E-34,1.86E-32,0.07127109,1,1658,305,676,3234,2417,875,1948,664
gene3974,-3.087378727,8.586558396,3.51E-34,1.90E-32,0.049163492,-1,7314,2133,4595,23365,91,57,110,50
gene3260,3.121025853,8.080204932,4.16E-34,2.22E-32,0.051588352,1,853,168,377,1366,568,337,661,317
gene85,-3.830276319,8.268139025,5.03E-34,2.65E-32,0.068297019,-1,6229,1936,4470,14745,35,36,35,36
gene2026,3.86764066,10.33549316,5.82E-34,3.02E-32,0.076907491,1,2773,387,1279,3646,3491,1700,3150,1235
gene2027,3.84704576,11.12084158,7.25E-34,3.71E-32,0.076485198,1,4831,877,1961,5567,5606,3171,5531,2059
gene3752,-3.19585536,9.123817251,8.22E-34,4.16E-32,0.053682739,-1,11709.91,3103.38,6743.76,31755.43,111.89,97.29,124.42,70.34
gene3941,3.567429652,9.076110912,1.03E-33,5.13E-32,0.067508463,1,868,249,696,2602,791,971,1224,648
gene142,-4.10051053,6.950914564,1.55E-33,7.64E-32,0.071011082,-1,2172,767,1456,8257,22,4,17,9
gene2382,4.062908065,12.21389752,1.85E-33,8.97E-32,0.084696809,1,7907,1698,3052,14892.83,9185.56,10125,9681,4057.87
gene2630,3.332463516,10.37994372,4.26E-33,2.05E-31,0.061562276,1,2964,803,1603,6886,3402,1645,3648,1104
gene3711,-3.993550231,6.932095268,5.62E-33,2.67E-31,0.067332882,-1,3322,591,1386,6659.28,10,11,22,10
gene1700,-3.368279075,7.605575137,5.70E-33,2.67E-31,0.054579872,-1,3758,1178,2175,11762,27,33,48,19
gene3058,4.944851496,11.46757816,6.13E-33,2.84E-31,0.117147399,1,3767,431,680,4638,9343,3355,7082,2521
gene2214,-3.188448037,7.39849215,6.62E-33,3.03E-31,0.048675478,-1,2737,1069,1978,10209,36,21,45,23
gene2065,4.150592205,9.136393251,1.20E-32,5.39E-31,0.088559987,1,568,276,378,1575,905,1149,1011,710
gene1238,3.347961508,7.799684592,1.21E-32,5.39E-31,0.06079252,1,445,110,352,1168,674,198,558,234
