row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene3907,-4.063798431,6.190580853,2.28E-12,1.18E-11,0.221192877,-1,360,416,1080,6413,4,4,18,5
gene3096,-1.972292991,6.823475363,2.30E-12,1.19E-11,0.061944184,-1,1984,482,1513,5130,59,23,71,26
gene369,2.322324827,9.543124726,2.40E-12,1.24E-11,0.094741784,1,2959,536,2642,6053,1941,486,1868,784
gene1341,1.98057229,9.185291085,2.45E-12,1.26E-11,0.070377348,1,2937,857,1418,6612,956,950,1223,408
gene1613,2.085152243,8.508695666,2.54E-12,1.30E-11,0.077335785,1,2541,368,725,3613,886,434,667,319
gene3344,1.911414826,8.776195578,2.55E-12,1.31E-11,0.065819513,1,2283,471,1306,6348,805,706,659,383
gene1919,-1.918559396,6.909775574,2.62E-12,1.34E-11,0.058125808,-1,2461,546,1444,4660,47,39,70,31
gene2108,2.080957295,8.603105274,2.68E-12,1.37E-11,0.077087389,1,1451,583,1046,4247,871,640,540,305
gene502,2.151867897,7.051507755,2.73E-12,1.40E-11,0.079473579,1,447,164,422,1469,162,239,253,136
gene2613,2.449186292,6.834832354,2.77E-12,1.42E-11,0.101858842,1,389,63,311,1409,343,76,267,118
gene1971,-2.093860014,6.890185433,2.82E-12,1.44E-11,0.069311326,-1,2140,714,1276,4800,58,22,48,38
gene1223,-3.897946193,5.301965953,2.86E-12,1.46E-11,0.188429695,-1,1077,134,490,2018,7,1,7,3
gene1903,2.239072954,11.04204069,2.92E-12,1.48E-11,0.08959437,1,9746.01,2227,5822,17525,2716,4102,4089,1709
gene1547,2.585875956,8.910468632,3.02E-12,1.54E-11,0.115987381,1,2726,286,883,3039,630,499,1793,444
gene481,2.198278726,8.063551567,3.06E-12,1.55E-11,0.085602956,1,1540,234,765,2128,707,171,677,263
gene616,-4.074442898,5.085941679,3.29E-12,1.67E-11,0.190264928,-1,924,148,410,1434,6,3,2,2
gene144,-1.850854473,9.364219637,3.46E-12,1.75E-11,0.062038416,-1,9227,3356,9481,27617,372,172,340,204
gene3807,-1.860044552,7.653851951,3.49E-12,1.76E-11,0.059785158,-1,2654,1068,2205,11218,140,43,100,55
gene2213,-2.524995948,6.16164562,3.49E-12,1.76E-11,0.096846028,-1,1128,324,927,4201,35,12,25,9
gene70,1.907817111,9.257228151,3.58E-12,1.80E-11,0.066631455,1,3337,849,2048,5618,948,914,1244,527
gene728,1.826421018,7.562021253,3.63E-12,1.83E-11,0.059992012,1,888,210,679,2945,406,147,515,155
gene2683,-4.069546791,5.12497443,3.85E-12,1.94E-11,0.184708744,-1,470,203,440,2194,3,4,3,3
gene1677,-2.404009187,6.182266706,3.86E-12,1.94E-11,0.085624195,-1,1397,315,829,3990,19,16,33,16
gene592,-2.630557105,6.208433758,3.93E-12,1.97E-11,0.100524364,-1,1461,399,860,3427,14,22,21,14
gene2494,-2.674610759,5.975046592,4.04E-12,2.02E-11,0.102851218,-1,1013,314,821,3380,14,10,23,14
gene2397,-1.749288697,8.370338541,4.07E-12,2.04E-11,0.054450781,-1,5256,1523,3619,17513,192,133,152,87
gene3746,-1.734711839,7.352334589,4.16E-12,2.08E-11,0.050110878,-1,2802,800,1633,7942,82,69,75,48
gene3180,2.462870082,11.760946,4.21E-12,2.10E-11,0.108147144,1,13417,4764,7847,14138,6709,5523,5268,3798
gene71,1.925865981,7.863037042,4.22E-12,2.10E-11,0.067236092,1,908,284,899,2925,264,309,584,240
gene208,1.887895551,9.107575815,4.29E-12,2.13E-11,0.065794698,1,3252,714,1446,6968,714,821,1075,568
gene1045,1.934856207,9.879851464,4.31E-12,2.14E-11,0.069210132,1,5049,1255,2876,9821,1535,1537,1621,809
gene2961,-2.951794989,5.989830729,4.31E-12,2.14E-11,0.124033595,-1,1076,406,685,3312,19,6,11,15
gene2547,-2.245932161,7.029766613,4.31E-12,2.14E-11,0.081991786,-1,2562,679,1337,6597,44,57,44,18
gene3126,1.781478436,8.892092019,4.55E-12,2.25E-11,0.058837765,1,2844,760,1493,4884,909,595,1009,365
gene2105,1.985162744,11.21992688,4.59E-12,2.27E-11,0.073080833,1,16239,3010,5774,20233,4604,2442,5722,2234
gene3512,1.624134905,7.236448049,4.67E-12,2.30E-11,0.046880951,1,750,248,574,2273,286,171,320,122
gene1694,2.266245422,10.19463213,4.78E-12,2.36E-11,0.093314702,1,5913,1143,2917,9998,1350,2181,1986,1278
gene1054,4.447962219,10.72094148,4.91E-12,2.42E-11,0.29472531,1,700,151,3052.91,1680.43,3452,1542,5816,2138.01
gene1228,11.86888393,4.968835042,5.04E-12,2.48E-11,0.682687246,1,0,0,0,0,161,12,147,0
gene3887,2.712530832,10.49747325,5.14E-12,2.53E-11,0.129459117,1,8907,857,2037,6026,2404,1833,3925,1530
gene2331,1.873693195,7.878169993,5.37E-12,2.63E-11,0.064258895,1,938,362,905,2536,299,341,513,230
gene3697,-1.794073173,8.540905943,5.39E-12,2.64E-11,0.058386225,-1,7380,1983,3878,14510,230,137,168,93
gene2718,-3.253136359,5.765056565,5.41E-12,2.65E-11,0.143099351,-1,705,288,780,3278,7,9,10,9
gene3199,-1.84162106,7.316140882,5.77E-12,2.82E-11,0.058244685,-1,2918,808,1714,6998.1,121,41,65,40
gene3233,-2.277847406,6.326001569,5.85E-12,2.86E-11,0.080630167,-1,1308,318,1050,4618,31,20,36,15
gene846,1.838351375,8.951782846,6.39E-12,3.11E-11,0.063465413,1,2522,744,1453,6355,764,783,779,481
gene641,2.379043599,9.545473767,6.41E-12,3.12E-11,0.103078356,1,4618,501,1580,5585,2216,671,1759,556
gene2972,-3.021534343,5.865920543,6.77E-12,3.29E-11,0.134564464,-1,1219,241,830,2868,25,8,8,6
gene1544,-2.837729673,5.843242718,6.91E-12,3.36E-11,0.118852438,-1,971,284,669,3457,24,6,13,9
gene2441,2.421179304,10.58275728,7.52E-12,3.65E-11,0.107313609,1,5950,1371,3546,14693,1592,3178,2191,1782
gene3676,1.683202649,9.135565982,7.57E-12,3.67E-11,0.054082347,1,3653,832,1961,6496,1099,650,1067,494
gene1085,1.815448761,7.280903197,7.64E-12,3.70E-11,0.060245113,1,960,185,499,2013,391,117,296,164
gene1188,-4.353651749,4.719586753,8.29E-12,4.01E-11,0.195753358,-1,535,121,262,1686,3,2,1,2
gene3194,-2.074352129,6.409503865,8.38E-12,4.04E-11,0.069344019,-1,1372,406,1064,4124,35,20,51,18
gene3972,-1.739081261,7.691210142,8.79E-12,4.24E-11,0.054053861,-1,3528,1028,2056,10175,141,81,85,50
gene2156,2.009690773,9.489693853,8.85E-12,4.26E-11,0.076484967,1,3397,644,2924,7208,1077,1074,1365,725
gene3112,-2.070434801,6.627057262,9.09E-12,4.37E-11,0.069266823,-1,1934,407,1039,5393,50,30,33,25
gene2038,1.962449445,9.075573806,9.29E-12,4.46E-11,0.072977656,1,2720,822,1796,4055,823,762,1016,567
gene667,1.993438964,9.577543654,9.37E-12,4.49E-11,0.075513504,1,4060,1063,1224,11186,1752,935,1404,652
gene3613,-1.662507471,8.216815091,9.46E-12,4.53E-11,0.050703232,-1,5075,1609,2864,13283,169,85,165,113
gene2173,-2.07880817,6.522995793,9.67E-12,4.63E-11,0.069672565,-1,1592,511,1069,3836,43,27,37,22
gene3291,-2.136099399,7.041652715,9.82E-12,4.69E-11,0.078437017,-1,2856,816,1426,4004,41,39,82,24
gene2048,-2.460888962,6.331146423,9.94E-12,4.74E-11,0.096446152,-1,1612,363,909,4326,21,26,35,9
gene522,1.817187085,8.791896828,1.00E-11,4.77E-11,0.063151905,1,2236,717,1166,6112,583,650,874,438
gene314,2.069298916,6.778904617,1.00E-11,4.77E-11,0.077355819,1,523,131,299,1315,161,94,353,115
gene31,1.921515612,10.72494382,1.01E-11,4.82E-11,0.071003408,1,9467,1878,6133,16678,3494,2302,3553,1150
gene1889,2.359570399,9.114856144,1.05E-11,5.00E-11,0.103340525,1,1709,703,1335,5072,749,1228,824,462
gene964,3.054591971,6.312358753,1.09E-11,5.15E-11,0.159198738,1,135,27,174,776,218,46,208,113
gene3982,-1.952535049,6.889050066,1.12E-11,5.30E-11,0.063816709,-1,2579,534,1110,5651,42,43,61,31
gene2793,-2.995783363,5.88073475,1.17E-11,5.54E-11,0.130335061,-1,1659,258,544,2820,10,11,13,11
gene81,-3.292466406,6.083185721,1.24E-11,5.88E-11,0.15833244,-1,1004,357,1046,3639,3,13,15,11
gene3987,-1.939853204,7.020380963,1.28E-11,6.06E-11,0.063990653,-1,2906,597,1513,4565,49,41,63,41
gene3424,1.662556475,7.98088568,1.30E-11,6.13E-11,0.053024796,1,1492,418,851,3237,329,291,604,249
gene602,1.699622551,7.956344519,1.31E-11,6.14E-11,0.055536055,1,1860,304,763,3202,556,275,427,220
gene1626,1.781651271,9.780911836,1.33E-11,6.26E-11,0.062049167,1,4608,1384,2774,10884,1445,1287,1765,680
gene3024,-2.434036407,6.006475991,1.34E-11,6.27E-11,0.092229266,-1,1016,322,763,3575,26,15,23,10
gene2661,-1.545351221,7.819915181,1.40E-11,6.56E-11,0.04404765,-1,3956,892,2653,10155,146,73,157,69
gene336,2.002534572,7.957784769,1.41E-11,6.59E-11,0.076369424,1,1435,314,664,2512,315,453,422,239
gene1898,-2.399346217,6.264599037,1.42E-11,6.64E-11,0.096154484,-1,1439,404,807,4039,36,10,41,10
gene2101,-2.278684438,6.553693751,1.43E-11,6.69E-11,0.08684623,-1,1647,504,1087,4520,22,18,59,22
gene3970,1.936301042,7.069554679,1.45E-11,6.75E-11,0.069972309,1,777,146,375,1797,306,115,201,185
gene3463,-2.041835097,6.561553617,1.45E-11,6.75E-11,0.069667574,-1,1782,472,1024,4335,56,21,39,23
gene2239,-2.94084626,5.953411326,1.48E-11,6.88E-11,0.137403642,-1,1364,267,732,3387,31,5,13,6
gene1610,2.771569373,7.891363315,1.49E-11,6.95E-11,0.138811189,1,826,134,493,1862,1020,108,443,207
gene154,-1.816050762,8.502591355,1.52E-11,7.07E-11,0.062348029,-1,7699,1394,3895,17776,140,145,219,93
gene2910,2.555751288,7.696561786,1.59E-11,7.39E-11,0.120240366,1,1016.15,83,562,1521.18,475,118,593,261
gene289,-1.759240792,7.913060843,1.73E-11,8.02E-11,0.057678877,-1,3570,1193,2545,12963,101,108,149,53
gene425,-2.113179063,6.6785515,1.82E-11,8.41E-11,0.075281408,-1,2258,480,902,5222,51,35,33,21
gene145,-1.928379644,7.423987191,1.87E-11,8.65E-11,0.066417026,-1,3646,736,2325,5809,58,54,87,58
gene979,2.128010858,6.642953397,1.93E-11,8.89E-11,0.084287498,1,492,87,226,1504,266,83,241,87
gene802,3.519100853,7.473482972,1.93E-11,8.90E-11,0.211809677,1,543,26,254,738,779,76,290,219
gene591,-2.450686114,6.62526022,2.05E-11,9.41E-11,0.09869158,-1,2082,491,1016,5038,21,36,24,22
gene494,2.092065621,9.742596684,2.05E-11,9.41E-11,0.085488825,1,2747,1117,2368,11549,1050,1472,1403,959
gene1458,1.811222767,8.91344111,2.05E-11,9.42E-11,0.064853343,1,2913,666,1523,5456,601,690,1014,476
gene2921,-2.418325746,6.282752086,2.22E-11,1.02E-10,0.093558335,-1,1297,421,773,4531,23,20,21,21
gene1748,2.443995942,7.74369947,2.24E-11,1.03E-10,0.112158777,1,764,229,446,2067,357,162,268,462
gene2842,-2.67870869,6.463124999,2.55E-11,1.17E-10,0.116819961,-1,1579,540,1000,4199,25,11,16,29
gene213,1.923785055,7.664361643,2.56E-11,1.17E-10,0.072391851,1,587,247,604,3895,451,184,506,170
gene3740,-2.385625129,6.448464086,2.60E-11,1.19E-10,0.098310747,-1,1563,440,1036,4470,21,12,59,17
gene3408,-1.622018041,7.983972934,2.88E-11,1.31E-10,0.050412142,-1,5708,1091,2490,9740,134,95,165,75
gene3132,-2.712211201,5.856685774,2.90E-11,1.32E-10,0.114831759,-1,1107,341,803,1950,18,11,16,10
gene2983,-4.275144782,5.659108129,2.98E-11,1.36E-10,0.244268315,-1,827,188,832,3310,4,10,1,1
gene1060,-3.198256182,5.876961527,3.02E-11,1.37E-10,0.160508345,-1,1179,255,731,3494,25,7,4,6
gene1001,2.821060224,9.085898421,3.09E-11,1.40E-10,0.149393738,1,793,204,1907,4289,1085,406,1545,728
gene3139,-2.274193824,6.47177302,3.13E-11,1.42E-10,0.085624517,-1,1730,397,1072,4280,27,25,26,27
gene3088,1.711027519,8.39499145,3.37E-11,1.53E-10,0.058964904,1,1495,557,1287,4439,791,297,597,336
gene337,1.726452266,7.727319682,3.41E-11,1.54E-10,0.05921508,1,910,363,711,3133,546,243,341,158
gene78,-2.304456116,6.611597187,3.57E-11,1.61E-10,0.09083689,-1,1405,595,1063,5165,24,37,34,20
gene1897,-2.876391322,6.290787684,3.84E-11,1.73E-10,0.142001653,-1,1786,274,1011,4432,40,4,18,11
gene2028,2.881669642,5.780675996,3.93E-11,1.77E-10,0.149164449,1,164,30,114,458,98,41,167,87
gene2675,-3.128673952,5.49646657,3.99E-11,1.79E-10,0.147575905,-1,721,226,604,2528,11,8,10,4
gene594,-3.323650021,5.23676375,4.00E-11,1.80E-10,0.161779841,-1,600,193,551,1889,10,3,9,3
gene1230,-1.919943221,6.906905769,4.09E-11,1.84E-10,0.066289281,-1,1820,545,1354,6737,73,42,42,28
gene2632,1.53026899,7.723183655,4.33E-11,1.94E-10,0.047179447,1,1345,343,730,3343,386,254,457,146
gene441,2.793909438,6.465112454,4.36E-11,1.95E-10,0.144302681,1,276,60,142,853,275,43,308,65
gene2824,2.107302368,6.573173582,4.47E-11,2.00E-10,0.085357869,1,515,89,310,909,205,74,247,104
gene1817,1.635513651,9.011643045,4.53E-11,2.03E-10,0.055348714,1,3193,598,2059,7680,1083,506,1061,440
gene493,2.127002566,8.791072379,4.65E-11,2.08E-10,0.091000215,1,1989,551,1012,5277,523,878,654,452
gene2099,-2.737893147,5.686089797,4.79E-11,2.14E-10,0.117008226,-1,853,269,604,2841,14,9,16,9
gene338,1.802705642,9.392707877,4.94E-11,2.20E-10,0.06711261,1,3645,937,2095,8887,1181,1072,958,600
gene640,1.623647945,7.343791077,5.03E-11,2.24E-10,0.052859561,1,706,273,589,2771,299,168,261,192
gene1318,2.251108152,9.295844075,5.23E-11,2.32E-10,0.101813647,1,2557,835,1450,5599,735,1293,893,655
gene1838,1.972268638,7.998474283,5.37E-11,2.39E-10,0.078680043,1,1196,342,989,2042,513,411,493,161
gene2887,-2.520436532,6.014644059,5.42E-11,2.40E-10,0.10490289,-1,856,354,769,3830,22,10,21,16
gene2838,-2.691364755,5.878118547,5.71E-11,2.53E-10,0.119101943,-1,1492,236,653,2748,13,8,26,11
gene854,1.699871241,8.141220273,5.76E-11,2.55E-10,0.059580509,1,1927,359,963,3584,393,385,647,232
gene3960,-2.353842139,6.47968389,5.80E-11,2.56E-10,0.095816545,-1,1447,372,1144,5246,17,27,38,21
gene1154,-2.295660773,6.423544055,5.93E-11,2.62E-10,0.095455815,-1,1668,387,1037,4241,22,15,63,14
gene566,1.696331538,8.79332985,6.06E-11,2.67E-10,0.059979546,1,2047,685,1595,6714,595,496,831,557
gene3709,-3.584520483,4.969766881,6.18E-11,2.72E-10,0.189885415,-1,561,169,382,1648,7,1,9,1
gene3113,1.551647931,8.28847504,6.24E-11,2.75E-10,0.050124635,1,2009,435,1331,4246,509,362,654,274
gene628,-1.798309769,6.748005957,6.46E-11,2.84E-10,0.058189704,-1,1858,469,1330,4706,47,33,65,33
gene3675,1.557807722,8.235675957,6.82E-11,3.00E-10,0.050628085,1,1951,495,977,4581,458,380,668,237
gene3029,-1.97884405,6.724435022,6.87E-11,3.01E-10,0.069880171,-1,2155,520,1071,4656,33,35,50,34
gene2400,2.869303003,9.617251766,7.01E-11,3.07E-10,0.159763778,1,2723,531,1208,5614,654,1809,806,1142
gene541,2.697226699,10.12682958,7.10E-11,3.11E-10,0.143512058,1,5626.85,650,1963,6849.82,4303,625,2439,899
gene930,-2.314265655,6.31497461,7.33E-11,3.20E-10,0.092935306,-1,1620,441,722,3905,23,14,35,24
gene3720,-3.532989145,5.15623823,7.60E-11,3.32E-10,0.181200727,-1,594,171,482,2024,7,1,7,5
gene1578,10.04577013,4.170456806,7.70E-11,3.36E-10,0.684973841,1,1,0,0,0,11,56,104,0
gene459,2.366522325,6.580653417,7.92E-11,3.45E-10,0.109105775,1,320,90,306,845,314,78,239,61
gene2457,-1.753866266,7.067159996,7.95E-11,3.46E-10,0.057694513,-1,2350,560,1581,6310,51,38,92,47
gene1305,-4.626057244,4.31902057,7.96E-11,3.46E-10,0.226955136,-1,248.24,112,209.27,1373.4,2,1,1,1
gene282,-1.584949,7.729625213,8.45E-11,3.67E-10,0.049898794,-1,3310,1020,2362,9586,88,78,163,70
gene2988,-2.731963477,5.7316669,8.57E-11,3.71E-10,0.121923586,-1,1013,230,748,2517,12,12,19,7
gene568,1.796958049,8.537008738,8.75E-11,3.79E-10,0.067996472,1,2226,507,1036,5085,523,605,726,296
gene194,2.364869028,10.34069181,9.08E-11,3.93E-10,0.114691638,1,8280,877,3146,7520,3341,981,3441,1187
gene3658,2.147454867,8.945236437,9.24E-11,3.99E-10,0.095716601,1,2687,493,1337,4586.16,1330,252,1315,474
gene209,-1.782151079,6.973179532,9.72E-11,4.19E-10,0.060548821,-1,2584,477,1350,6026,75,27,74,40
gene3039,-2.546372309,5.834216299,9.88E-11,4.26E-10,0.109078457,-1,889,281,741,3036,14,10,26,11
gene3349,-1.879091505,6.818431632,1.02E-10,4.40E-10,0.066323982,-1,1775,557,1208,5879,39,28,81,34
gene2163,1.970155544,8.688639044,1.02E-10,4.41E-10,0.081719595,1,2276,524,1049,4949,550,763,631,391
gene359,-3.161755845,5.547246988,1.05E-10,4.53E-10,0.160595663,-1,972,224,497,2707,17,4,7,6
gene2474,1.68700594,8.510141424,1.09E-10,4.68E-10,0.060733874,1,1731,593,1298,5277,689,524,667,257
gene781,2.89234181,9.021392911,1.10E-10,4.72E-10,0.165277723,1,2146,241,1128,2232,2093,281,1288,347
gene2987,-3.881280698,5.197065138,1.14E-10,4.89E-10,0.224568748,-1,661,106,525,2618,2,2,11,2
gene2330,1.500169303,8.037115122,1.16E-10,4.95E-10,0.047928548,1,1606,487,896,4006,410,319,449,267
gene942,2.931222341,5.876186376,1.21E-10,5.16E-10,0.163247638,1,247,34,55,500,180,39,143,74
gene3889,3.294927369,7.152150131,1.26E-10,5.38E-10,0.205159503,1,655,56,116,468,483,157,451,49
gene1844,2.090796858,9.389221835,1.28E-10,5.44E-10,0.092599383,1,2563,868,2354,5863,2230,591,1128,502
gene569,1.634792245,7.762926179,1.31E-10,5.60E-10,0.056893304,1,1471,300,755,2963,351,182,604,194
gene1668,-1.997209894,6.432441054,1.32E-10,5.62E-10,0.071712395,-1,1414,360,964,4947,33,25,41,26
gene3340,1.680870219,8.644511821,1.40E-10,5.93E-10,0.06119949,1,2070,574,1454,6026,580,592,834,308
gene2753,-2.629369486,5.967138537,1.40E-10,5.96E-10,0.118140086,-1,982,362,772,3084,23,17,11,10
gene3855,1.805583272,10.67738862,1.45E-10,6.14E-10,0.071123426,1,9348,2468,6241,13316,2976,2074,2966,1571
gene1597,-2.676359868,5.764544861,1.45E-10,6.15E-10,0.122777095,-1,929,202,765,3156,18,8,19,9
gene1423,-1.563744301,7.728628095,1.49E-10,6.30E-10,0.050243602,-1,4197,944,2005,9357,98,69,175,69
gene33,-1.899383742,7.225456052,1.49E-10,6.30E-10,0.071240592,-1,2967,779,1504,6383,63,71,74,25
gene3798,-1.698597307,7.116215509,1.50E-10,6.33E-10,0.057660296,-1,2999,563,1297,6503,94,35,96,33
gene2848,2.188088077,6.118936069,1.51E-10,6.34E-10,0.095743575,1,316,67,150,1004,177,74,158,60
gene34,-2.112798387,6.769563426,1.51E-10,6.34E-10,0.084778954,-1,1360.72,614,1462.5,5232,47,44,40,18
gene1583,11.66131519,4.539589562,1.55E-10,6.51E-10,0.783176646,1,0,0,0,0,0,20,52,101
gene4027,2.952150784,9.67372572,1.63E-10,6.85E-10,0.174684469,1,1188,245,3004,4512,1131,949,2503,1001
gene3592,2.169581692,6.475918948,1.68E-10,7.03E-10,0.095092992,1,292.96,110.25,327.32,804.67,151.88,105.54,270.93,69.63
gene2553,-3.686368244,5.050948043,1.69E-10,7.08E-10,0.193009768,-1,690,127,476,1690,7,3,2,4
gene3236,-2.190227465,6.258320273,1.74E-10,7.27E-10,0.085629898,-1,1434,348,956,3460,28,20,26,23
gene2333,1.60355244,7.957504843,1.74E-10,7.27E-10,0.055780049,1,1224,390,939,4062,308,341,487,248
gene3715,-3.291091971,5.280016275,1.80E-10,7.50E-10,0.172446645,-1,986,175,407,1871,5,5,13,3
gene2985,-3.074321474,5.380336374,1.80E-10,7.52E-10,0.15026981,-1,723,183,578,2257,10,7,9,5
gene1183,1.887396986,9.202659468,1.86E-10,7.74E-10,0.077808512,1,2716,782,1814,8129,697,1046,1108,510
gene2682,-4.275837245,4.231423657,1.95E-10,8.14E-10,0.209766251,-1,253,102,218,1133,2,1,2,1
gene2448,1.510219092,8.07364945,1.96E-10,8.14E-10,0.049959213,1,1794,425,969,4138,466,365,463,217
gene3647,-1.608651472,8.019600258,2.06E-10,8.58E-10,0.055605013,-1,4366,1117,2863,12644,208,71,178,59
gene2469,-2.077190529,6.379805415,2.07E-10,8.59E-10,0.081705501,-1,1933,341,966,3331,35,17,49,20
gene2222,-1.612677273,7.495202681,2.12E-10,8.79E-10,0.053497626,-1,2309,846,2270,8677,92,48,128,68
gene3698,-2.568841392,6.587546603,2.20E-10,9.13E-10,0.127455534,-1,1643,486,1297.43,4838,62,8,19,18
gene2183,2.326506555,7.117960414,2.21E-10,9.15E-10,0.113289887,1,464,91,350,2107,351,65,333,189
gene3952,1.459875213,8.294407087,2.25E-10,9.32E-10,0.047233916,1,1999,519,1264,4765,612,360,542,261
gene2566,1.531108894,8.694988194,2.26E-10,9.34E-10,0.052277287,1,2829,617,1691,5347,765,465,840,334
gene1053,2.436612168,8.255670917,2.27E-10,9.35E-10,0.12569193,1,1592,150,885,2228,873,187,922,237
gene917,-1.998784967,6.680981904,2.29E-10,9.42E-10,0.075645354,-1,1545,598,945,5513,40,32,39,34
gene2505,-1.611071932,8.844482232,2.37E-10,9.77E-10,0.056701007,-1,7862,2325,4493,21292,287,138,231,183
gene322,-1.706598282,7.099832356,2.40E-10,9.86E-10,0.059495322,-1,2872,611,1245,6327,97,31,89,36
gene3739,-3.73074286,5.288482851,2.41E-10,9.89E-10,0.224975332,-1,846,165,472,2284,9,5,6,0
gene3738,-3.389205213,5.28023692,2.64E-10,1.09E-09,0.183584781,-1,783,245,467,1531,4,7,11,2
gene3036,-3.283492023,5.133379238,2.72E-10,1.11E-09,0.175741747,-1,825,158,341,1933,9,2,10,3
gene907,2.236748387,9.384869648,2.76E-10,1.13E-09,0.108966372,1,2627,539,2306,6574,913,1113,2014,343
gene2405,-1.660301609,7.125497348,2.78E-10,1.14E-09,0.056564654,-1,2710,513,1523,6788,100,33,87,41
gene368,1.84652031,11.71907211,2.98E-10,1.22E-09,0.076970574,1,20707,4952,11680,25625,5840,4667,6330,2998
gene3870,-1.548342162,7.726887867,3.01E-10,1.23E-09,0.05072484,-1,3655,980,2503,8122,136,97,109,59
gene3042,2.370126965,6.326988342,3.06E-10,1.25E-09,0.116602648,1,256,65,203,1072,195,54,262,69
gene192,1.595731202,9.43819289,3.06E-10,1.25E-09,0.05797387,1,3712,1068,2584,10893,1117,983,1230,574
gene1007,1.47652195,7.491560852,3.21E-10,1.31E-09,0.048056853,1,1192,322,515,3222,294,172,428,157
gene702,-1.715099466,6.825173277,3.27E-10,1.33E-09,0.05848112,-1,1583,504,1378,5770,71,39,57,31
gene1155,-2.035375446,7.489653616,3.28E-10,1.33E-09,0.084633443,-1,4183,829,1801,7738,55,47,59,78
gene2712,-2.037028944,6.242071203,3.35E-10,1.36E-09,0.078238955,-1,1217,374,794,4080,35,23,34,17
gene1605,-2.176444064,6.04211329,3.36E-10,1.36E-09,0.089089961,-1,1234,303,708,3402,27,14,36,13
gene2202,-2.325645665,6.471546898,3.46E-10,1.40E-09,0.103605526,-1,1370,458,1183,4298,14,25,44,22
gene2340,1.811451865,6.400243897,3.65E-10,1.48E-09,0.069411677,1,512,110,258,1136,147,97,194,81
gene2270,-1.687374497,6.806147525,4.08E-10,1.65E-09,0.056928615,-1,1782,654,1058,4775,59,37,68,34
gene3410,-1.609725922,6.802313436,4.19E-10,1.69E-09,0.052149807,-1,1995.94,509,1094.41,5182.53,66,38,76,30
gene2029,-2.079380828,6.363439423,4.38E-10,1.76E-09,0.084028124,-1,1165,456,849,4568,38,30,32,15
gene2209,-2.182778319,6.35891865,4.44E-10,1.79E-09,0.095241585,-1,1563,296,882,5106,52,17,34,12
gene906,2.292045391,9.407290647,4.56E-10,1.83E-09,0.116782845,1,3181,736,1569,5851,814,990,2488,337
gene2567,-1.92898722,6.720566024,4.57E-10,1.84E-09,0.077204207,-1,1845,545,1158,4785,44,29,85,16
gene1896,-1.987217236,6.565230852,4.58E-10,1.84E-09,0.077544671,-1,1487,491,959,5100,31,24,51,32
gene1464,1.554816934,8.419359502,4.66E-10,1.87E-09,0.055718828,1,2588,439,1205,5018,613,319,748,324
gene3379,-2.400432149,6.026038362,4.67E-10,1.87E-09,0.113175696,-1,1304,321,626,3576,32,8,34,8
gene938,2.830065323,8.242446693,4.73E-10,1.89E-09,0.169611594,1,889,110,1007,1431,1159,210,749,190
gene1636,1.801515795,8.433383024,4.76E-10,1.90E-09,0.07404386,1,2215,489,1145,3363,880,252,772,299
gene1055,3.307885059,4.746397581,4.78E-10,1.91E-09,0.207920004,1,76.3,11,43,157.86,59,20,96,39.21
gene3514,1.884936556,7.517715058,4.92E-10,1.96E-09,0.07967344,1,1016,272,558,1903,586,129,300,165
gene608,-1.644847283,8.670306401,4.94E-10,1.97E-09,0.061620106,-1,6999.23,2040.07,3958.48,19560.76,336,109,228,109
gene1770,-4.085348027,6.173076009,5.15E-10,2.05E-09,0.287929389,-1,1899,421,97,6258,9,3,10,7
gene254,1.844681669,6.559113498,5.24E-10,2.08E-09,0.074007522,1,619,126,253,1160,180,88,199,110
gene3415,-2.208739902,6.440602468,5.63E-10,2.24E-09,0.098446793,-1,2239,342,920,3670,55,15,28,19
gene4006,2.223095611,6.315158148,6.05E-10,2.40E-09,0.106821767,1,220,70,301,976,137,107,139,107
gene2870,-1.817930122,7.441699787,6.15E-10,2.44E-09,0.072602169,-1,2734,804,2035,8818,147,53,59,37
gene3481,-1.659622909,7.063397661,6.30E-10,2.50E-09,0.057171807,-1,2446,524,1552,6085,79,39,64,53
gene4034,2.551944993,8.785552496,6.43E-10,2.54E-09,0.144187716,1,1766,274,1028,4012,1890,249,901,260
gene523,2.32160745,6.083321781,6.53E-10,2.58E-09,0.115150358,1,272,75,156,728,195,44,169,69
gene2939,2.32610574,8.609009348,6.64E-10,2.62E-09,0.121924309,1,2116,306,1096,2629,1451,295,758,258
gene928,1.790429175,8.158222514,6.67E-10,2.63E-09,0.074219179,1,1931,425,811,2999,391,479,491,255
gene195,1.595138679,8.662683943,6.76E-10,2.66E-09,0.059836259,1,3040,628,1284,5007,706,518,696,371
gene3462,-1.722674303,6.611754126,6.77E-10,2.66E-09,0.060185874,-1,1910,423,973,4526,51,29,62,29
gene1021,2.226046589,6.476620795,6.77E-10,2.66E-09,0.108570015,1,383,75,263,1036,262,58,244,69
gene1821,6.41323934,2.0495422,7.78E-10,3.06E-09,0.462094433,1,5.5,0,0,0,4.71,2.23,36.69,8.94
