gene2405,GO:0016888
gene2404,GO:0016021
gene2407,GO:0019867
gene2406,GO:0016021
gene23,GO:0006457
gene2141,GO:0046872
gene2711,GO:0000049
gene2711,GO:0004812
gene2142,GO:1990077
gene424,GO:0044780
gene167,GO:0008757
gene2085,GO:0019843
gene2084,GO:0005737
gene2087,GO:0005737
gene2086,GO:0019843
gene2081,GO:0019843
gene2080,GO:0019843
gene2083,GO:0006412
gene2082,GO:0019843
gene2089,GO:0016783
gene2669,GO:0005737
gene2668,GO:0016021
gene2665,GO:0016740
gene2664,GO:0016841
gene2667,GO:0003824
gene2661,GO:0016020
gene2660,GO:0016740
gene2662,GO:0042597
gene3046,GO:0006281
gene3044,GO:0016020
gene3045,GO:0018298
gene3590,GO:0043565
gene3043,GO:0008757
gene3041,GO:0016021
gene2063,GO:0019843
gene2062,GO:0065002
gene2060,GO:0019843
gene2067,GO:0019843
gene2066,GO:0019843
gene2065,GO:0019843
gene2064,GO:0015934
gene426,GO:0005524
gene3442,GO:0031992
gene3443,GO:0016021
gene1576,GO:0046872
gene1577,GO:0050662
gene1570,GO:0016740
gene1571,GO:0008767
gene1572,GO:0050662
gene1573,GO:0008830
gene3449,GO:0016491
gene1579,GO:0045226
gene497,GO:0046872
gene3622,GO:0046872
gene3620,GO:0016021
gene496,GO:0016811
gene3626,GO:0046872
gene3624,GO:0016787
gene2170,GO:0036104
gene1745,GO:0006793
gene1408,GO:0019563
gene1409,GO:0006351
gene941,GO:0016021
gene1400,GO:0003723
gene1401,GO:0005737
gene1403,GO:0016021
gene1405,GO:0019242
gene1406,GO:0016491
gene1407,GO:0016021
gene3139,GO:0016021
gene3136,GO:0055114
gene3137,GO:0003723
gene3135,GO:0051539
gene3743,GO:0005737
gene3133,GO:0016021
gene3224,GO:0050660
gene3970,GO:0009317
gene1858,GO:0004252
gene81,GO:0036355
gene80,GO:0051539
gene83,GO:0008641
gene85,GO:0051539
gene84,GO:0009229
gene87,GO:0015103
gene86,GO:0006950
gene2450,GO:0019843
gene3978,GO:0047134
gene2870,GO:0016491
gene2871,GO:0008080
gene3979,GO:0016021
gene2874,GO:0046872
gene2876,GO:0016021
gene2877,GO:0032784
gene2878,GO:0006351
gene2879,GO:0051536
gene2608,GO:0005727
gene2000,GO:0046872
gene1992,GO:0016597
gene1990,GO:0016021
gene1991,GO:0070041
gene1996,GO:0044210
gene1997,GO:0009986
gene1995,GO:0016787
gene1998,GO:0043093
gene1999,GO:0050518
gene1978,GO:0044318
gene1979,GO:0016987
gene1971,GO:0006351
gene1972,GO:0006629
gene1974,GO:0009451
gene1977,GO:0016021
gene2984,GO:0071973
gene2985,GO:0071973
gene2986,GO:0071973
gene2987,GO:0071973
gene2981,GO:0071973
gene2982,GO:0071973
gene3347,GO:0006355
gene3907,GO:0003677
gene238,GO:0061077
gene1376,GO:0005975
gene237,GO:0008794
gene236,GO:0045892
gene231,GO:0006189
gene230,GO:0008168
gene233,GO:0016021
gene232,GO:0044206
gene3661,GO:0004812
gene833,GO:0016491
gene831,GO:0016740
gene786,GO:0006421
gene837,GO:0046872
gene783,GO:0016853
gene782,GO:0030170
gene839,GO:0006412
gene789,GO:0006351
gene422,GO:0044780
gene3837,GO:0008076
gene3836,GO:0016021
gene3835,GO:0016874
gene3834,GO:0097171
gene3833,GO:0019867
gene3832,GO:0046872
gene3831,GO:0016787
gene3830,GO:0046872
gene301,GO:0051903
gene300,GO:0046294
gene302,GO:0006351
gene305,GO:0046872
gene304,GO:0071555
gene307,GO:0030234
gene161,GO:0008641
gene160,GO:0019867
gene163,GO:0031071
gene2275,GO:0001882
gene164,GO:0006351
gene2270,GO:0070475
gene2271,GO:0050661
gene168,GO:0033567
gene2278,GO:0016021
gene2279,GO:0016021
gene490,GO:0016021
gene493,GO:0019866
gene492,GO:0019262
gene495,GO:0006425
gene494,GO:0030247
gene1749,GO:0006281
gene1748,GO:0006817
gene499,GO:0016491
gene946,GO:0009234
gene945,GO:0051287
gene1744,GO:0009358
gene943,GO:0055085
gene1742,GO:0016021
gene1741,GO:0035435
gene1740,GO:0043190
gene1188,GO:0046872
gene1185,GO:0051539
gene1184,GO:0006457
gene1187,GO:0022904
gene1186,GO:0016151
gene1181,GO:0006355
gene1180,GO:0030170
gene1183,GO:0030151
gene1182,GO:0020037
gene543,GO:0071897
gene542,GO:0016021
gene541,GO:0006355
gene547,GO:0006541
gene546,GO:0005737
gene545,GO:0016829
gene544,GO:0005737
gene549,GO:0080130
gene2478,GO:0008833
gene2479,GO:0003824
gene2475,GO:0016020
gene2477,GO:0006284
gene2470,GO:0016491
gene2471,GO:0016021
gene2472,GO:0016430
gene2473,GO:0005737
gene2690,GO:0046961
gene2695,GO:0003824
gene3051,GO:0020037
gene3053,GO:0045454
gene3054,GO:0016021
gene3057,GO:0065002
gene3056,GO:0065002
gene3587,GO:0005524
gene2502,GO:0042286
gene2504,GO:0052914
gene3581,GO:0008080
gene2059,GO:0019843
gene2056,GO:0006412
gene2509,GO:0016887
gene2054,GO:0005622
gene2055,GO:0016740
gene2050,GO:0006355
gene2707,GO:0016021
gene1567,GO:0016740
gene1566,GO:0016740
gene3457,GO:0006282
gene1564,GO:0030259
gene1563,GO:0051287
gene3450,GO:0004601
gene1560,GO:0055085
gene2184,GO:0006412
gene2186,GO:0015941
gene2187,GO:0046080
gene2180,GO:0050662
gene2181,GO:0008534
gene1569,GO:0016020
gene2183,GO:0006412
gene3639,GO:0045454
gene3638,GO:0047134
gene3634,GO:0046872
gene3636,GO:0006979
gene3631,GO:0003824
gene3632,GO:0030145
gene1419,GO:0055085
gene1418,GO:0016020
gene1411,GO:0005524
gene1410,GO:0052591
gene1417,GO:0030151
gene1416,GO:0020037
gene3420,GO:0003993
gene218,GO:0004527
gene3421,GO:0006281
gene3125,GO:0006351
gene3356,GO:0016746
gene3427,GO:0016787
gene3128,GO:0005524
gene2392,GO:0045892
gene3359,GO:0015109
gene2554,GO:0045490
gene2863,GO:0016779
gene2863,GO:0006777
gene2500,GO:0051536
gene4045,GO:0051287
gene4044,GO:0046872
gene2867,GO:0016746
gene4042,GO:0008080
gene4041,GO:0016021
gene3585,GO:0016853
gene4049,GO:0070814
gene4048,GO:0016021
gene1985,GO:0046872
gene467,GO:0006281
gene1987,GO:0006310
gene1986,GO:0070181
gene1980,GO:0016989
gene1983,GO:0045727
gene1989,GO:0008897
gene1988,GO:0033856
gene2506,GO:0055085
gene3580,GO:0016740
gene2508,GO:0016021
gene2057,GO:0006351
gene1962,GO:0005737
gene1961,GO:0046872
gene1960,GO:0009052
gene1966,GO:0019464
gene1965,GO:0050660
gene2997,GO:0008168
gene2995,GO:0016491
gene2993,GO:0006351
gene3589,GO:0016740
gene2991,GO:0071973
gene2990,GO:0071973
gene2551,GO:0030246
gene1361,GO:0016021
gene3937,GO:0065002
gene1363,GO:0016787
gene1362,GO:0006351
gene1365,GO:0051536
gene1367,GO:0009450
gene3931,GO:0009305
gene222,GO:0008168
gene223,GO:0006401
gene221,GO:0008270
gene226,GO:0050660
gene227,GO:0016021
gene224,GO:0006260
gene3939,GO:0070180
gene791,GO:0051536
gene796,GO:0004176
gene797,GO:0030170
gene795,GO:0016987
gene828,GO:0016020
gene829,GO:0016758
gene798,GO:0051539
gene799,GO:0030170
gene316,GO:0009229
gene317,GO:0046872
gene314,GO:0016740
gene315,GO:0006355
gene312,GO:0016491
gene313,GO:0030145
gene310,GO:0045892
gene311,GO:0050661
gene3803,GO:0016491
gene3800,GO:0042278
gene3807,GO:0016747
gene3804,GO:0042597
gene319,GO:0052865
gene3451,GO:0016021
gene1562,GO:0009058
gene172,GO:0046857
gene173,GO:0009898
gene1772,GO:0047111
gene1773,GO:0051539
gene1770,GO:0016783
gene1771,GO:0051536
gene958,GO:0022904
gene1777,GO:0005737
gene488,GO:0016301
gene489,GO:0006529
gene954,GO:0016020
gene487,GO:0046872
gene956,GO:0016301
gene1779,GO:0030246
gene483,GO:0016021
gene952,GO:0046873
gene481,GO:0043590
gene1170,GO:0008233
gene1172,GO:0051536
gene1645,GO:2001295
gene1174,GO:0046872
gene1177,GO:0006629
gene1642,GO:0016020
gene3458,GO:0046872
gene550,GO:0051287
gene551,GO:0005737
gene553,GO:0016301
gene554,GO:0016021
gene555,GO:0016462
gene556,GO:0006457
gene557,GO:0008270
gene558,GO:0055085
gene8,GO:0046854
gene9,GO:0016787
gene2469,GO:0051301
gene2467,GO:0008409
gene2466,GO:0016149
gene2465,GO:0006430
gene3,GO:0046930
gene4,GO:0030697
gene2461,GO:0004812
gene7,GO:0050660
gene2482,GO:0050661
gene2269,GO:0004222
gene1086,GO:0050660
gene1080,GO:0010038
gene1081,GO:0030170
gene2261,GO:0051537
gene2260,GO:0016491
gene2262,GO:0016831
gene2265,GO:0045454
gene2264,GO:0008186
gene2267,GO:0015974
gene2266,GO:0006401
gene2683,GO:0046933
gene2681,GO:0043565
gene2687,GO:0046961
gene2686,GO:0046933
gene2685,GO:0046933
gene3025,GO:0071973
gene2689,GO:0046933
gene2688,GO:0046961
gene3020,GO:0043565
gene3021,GO:0071973
gene2058,GO:0019843
gene2041,GO:0016485
gene327,GO:0009279
gene2511,GO:0008810
gene2510,GO:0016887
gene2045,GO:0016740
gene2047,GO:0016020
gene3858,GO:0050660
gene2049,GO:0016740
gene2048,GO:0016740
gene1558,GO:0042853
gene456,GO:0046872
gene3227,GO:0055052
gene1553,GO:0006265
gene1550,GO:0008484
gene1556,GO:0016260
gene1557,GO:0016491
gene1554,GO:0004040
gene1555,GO:0070329
gene1798,GO:0016740
gene1799,GO:0016740
gene1441,GO:0051287
gene3225,GO:0042597
gene321,GO:0009318
gene2199,GO:0032784
gene2198,GO:0006355
gene2197,GO:0016021
gene2196,GO:0006310
gene2195,GO:0009020
gene320,GO:0016740
gene2193,GO:0006351
gene2192,GO:0006163
gene1796,GO:0005975
gene2190,GO:0009022
gene2702,GO:0016020
gene3733,GO:0005524
gene2700,GO:0016788
gene3003,GO:0071973
gene3330,GO:0016491
gene3332,GO:0008610
gene2701,GO:0006436
gene3488,GO:0006351
gene3486,GO:0043190
gene3339,GO:0046872
gene3339,GO:0051213
gene3484,GO:0047304
gene3482,GO:0050194
gene3483,GO:0030170
gene3480,GO:0022820
gene142,GO:0055085
gene2704,GO:0005524
gene2607,GO:0016491
gene3228,GO:0051536
gene1426,GO:0016021
gene1427,GO:0004518
gene1422,GO:0008080
gene1326,GO:0016787
gene3150,GO:0016791
gene3152,GO:0016810
gene1451,GO:0009360
gene3158,GO:0008859
gene3159,GO:0070417
gene2854,GO:0055085
gene2855,GO:0022857
gene2852,GO:0051213
gene2858,GO:0030246
